weight,stratum,psu,Sex,Race,Age,Grade,SexOrientation,HispanicLatino,Height,Weight,SexofSexualContact,SeatBealtUse,DrinkingDriver,DrivingDrinking,TextingDriving,WeaponCarryingSchool,GunCarrying,UnsafeAtSchool,InjuredInSchool,PhysicalFight,SchoolPhysicalFight,AttackedInNeighborhood,ForcedSexualIntercourse,SexualViolence,SexualAbuseByPartner,PhysicalDaitingViolence,Bullying,CyberBullying,Hopelessness,SuicideIdeation,SuicidePlan,SuicideAttempts,SuicideInjuryMedicalAttention,EverTriedCigarrette,FirstCigBefore13,CurrentlySmokingCigarette,MoreThan10CigPerDay,EverTriedVaping,CurrentlyVaping,StoreSourceVaping,CurrentlySmokelessTobacco,CurrentlySmokingCigar,QuitTobbaco,FirstAlcoholBefore13,CurrentlyAlcohol,CurrentlyBingeDrinking,MoreThan10Drinks,SomeoneSourceAlcohol,EverUsedMarihuana,FirstMarihuanaBefore13,CurrentlyUseMarihuana,EverUsedSyntheticMarihuana,PainMedicine,EverUsedCocaine,EverUsedInhalant,EverUsedHeroin,EverUsedMetha,EverUsedEcstasy,EverUsedInjectedIllegalDrug,OfferedDrugsSchool,EverHadSex,SexBefore13,Sex4OrMorePartners,SexuallyActive,AlcoholOrDrugsSex,UseCondom,BirthControl,VeryOverweight,WeightLoss,NoFruitJuice,NoFruit,NoSalad,NoPotatoes,NoCarrots,NoOtherVeggies,NoSoda,NoMilk,NoBreakfast,PhysicalActivity,ThreeOrMoreHoursTV,AttendedPEClass,SportsTeam,ConcussionSports,HIVTested,STDTested,DentistVisit,NotGoodMentalHealth,EightorMoreHoursSleep,Homelessness,CurrentPainMedicine,EverHallucinogenicDrugs,NoSportsDrinks,NoDrinksWater,ExcerciseMuscles,CovidNotGoodMentalHealth,CovidAdultLostJob,Sunburn,FeelCloseToPeople,ParentalMonitoring,DifficultyConcentrating,EnglishProficiency
1.2081,214,87643,Female,Multiple-Hispanic,17,12,Heterosexual,1,1.63,114.31,3,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
2.3611,214,87643,Female,Multiple-Hispanic,15,10,Bisexual,1,1.57,58.97,4,0,1,NA,NA,0,0,1,1,0,0,1,0,1,NA,NA,1,1,1,1,1,0,0,0,0,0,NA,0,0,NA,0,0,NA,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,NA,NA,NA,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1
2.2657,214,87643,Male,Multiple-Hispanic,15,10,Heterosexual,1,NA,NA,1,1,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
2.2657,214,87643,Male,Hispanic/Latino,15,10,Heterosexual,1,NA,NA,2,0,NA,NA,NA,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,1,0,0,NA,1,0,NA,0,0,NA,0,0,0,0,NA,NA,NA,0,1,1,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1
2.3611,214,87643,Female,Hispanic/Latino,14,10,Heterosexual,1,1.65,54.43,3,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,1,0,0,0,0,0,0,0,NA,1,1,0,0,0,0,0,0,0,0,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
2.2657,214,87643,NA,Hispanic/Latino,15,10,Not sure,1,NA,NA,1,0,0,NA,NA,0,0,0,0,0,0,0,0,1,NA,NA,0,0,1,1,1,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1
2.3892,214,87643,Female,Multiple-Hispanic,16,11,NA,1,1.63,74.84,3,1,0,0,0,0,0,0,0,NA,NA,1,1,1,1,0,1,1,1,1,1,NA,NA,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1
2.622,214,87643,Male,Hispanic/Latino,16,11,Heterosexual,1,1.68,58.97,1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
2.3892,214,87643,Female,Hispanic/Latino,16,11,Heterosexual,1,1.5,48.99,1,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,NA,1,0,1,NA,1
1.7663,214,87643,Male,Asian,17,11,Heterosexual,2,NA,NA,NA,1,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,1,0,NA,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
